2022 Winter,,,,,,,,,,,,,,,,,,,,,,,
"Generated 10/22/2021, 2:27:56 PM",,,,,,,,,,,,,,,,,,,,,,,
,SIS Class Nbr,Term,Term Code,Department Code,Course,Section #,Course Title,Section Type,Meeting Pattern,Instructor,Room,Campus,Consent,Grade Mode,Attributes,Characteristics,Maxi Enrollment,Wait Cap,Room Cap,Combined,Link To,Comments,Notes#1
COMP_SCI 110-0 - Introduction to Computer Programming,,,,,,,,,,,,,,,,,,,,,,,
,24088,2022 Winter,4850,07C30,COMP_SCI 110-0,1,Introduction to Computer Programming,Lecture,MWF 10am-10:50am,"Bain, Connor (CPB007) [Primary Instructor, Grade]",General Purpose Classroom,Evanston Campus,No Special Consent Required,Student Option,WCAS Distribution Requirement: Formal Studies Distro Area,Campus: North (1),250,0,277,,,,
COMP_SCI 111-0 - Fundamentals of Computer Programming,,,,,,,,,,,,,,,,,,,,,,,
,24089,2022 Winter,4850,07C30,COMP_SCI 111-0,1,Fundamentals of Computer Programming,Lecture,MWF 11am-11:50am,"Owsley, Sara (SHO533) [Primary Instructor, Grade]",Technological Institute AUD,Evanston Campus,No Special Consent Required,ABC Grading,WCAS Distribution Requirement: Formal Studies Distro Area,Campus: North (1),450,0,500,,,,
COMP_SCI 150-0 - Fundamentals of Computer Programming 1.5,,,,,,,,,,,,,,,,,,,,,,,
,24393,2022 Winter,4850,07C30,COMP_SCI 150-0,1,Fundamentals of Computer Programming 1.5,Lecture,MWF 11am-11:50am,"Compton, Katherine [Primary Instructor, Grade]",Fisk Hall 217,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),200,0,277,,,,
COMP_SCI 211-0 - Fundamentals of Computer Programming II,,,,,,,,,,,,,,,,,,,,,,,
,24090,2022 Winter,4850,07C30,COMP_SCI 211-0,1,Fundamentals of Computer Programming II,Lecture,TTh 2pm-3:20pm,"Ghena, Branden [Primary Instructor, Grade]; Bhagavatula, Sruti [Secondary Instructor, Grade]",Tech Institute Lecture Room 2,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),200,0,277,,,,
COMP_SCI 212-0 - Mathematical Foundations of Comp Science,,,,,,,,,,,,,,,,,,,,,,,
,24091,2022 Winter,4850,07C30,COMP_SCI 212-0,1,Mathematical Foundations of Comp Science,Lecture,MWF 4pm-4:50pm,"Golub, Benjamin [Primary Instructor, Grade]",Tech Institute Lecture Room 2,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),120,0,171,,,,
COMP_SCI 213-0 - Introduction to Computer Systems,,,,,,,,,,,,,,,,,,,,,,,
,24105,2022 Winter,4850,07C30,COMP_SCI 213-0,1,Introduction to Computer Systems,Lecture,TTh 9:30am-10:50am,"Ghena, Branden [Primary Instructor, Grade]",Technological Institute AUD,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),150,0,171,,,,
COMP_SCI 214-0 - Data Structures & Algorithms,,,,,,,,,,,,,,,,,,,,,,,
,24092,2022 Winter,4850,07C30,COMP_SCI 214-0,1,Data Structures & Algorithms,Lecture,TTh 11am-12:20pm,"St Amour, Vincent (VSA173) [Primary Instructor, Grade]",Tech Institute Lecture Room 2,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),150,0,171,,,,
COMP_SCI 217-0 - Data Management & Information Processing,,,,,,,,,,,,,,,,,,,,,,,
,29128,2022 Winter,4850,07C30,COMP_SCI 217-0,1,Data Management & Information Processing,Lecture,TTh 9:30am-10:50am,"Hu, Huiling (HHD1154) [Primary Instructor, Grade]",Tech Institute Lecture Room 4,Evanston Campus,No Special Consent Required,ABC Grading,,Campus: North (1),70,0,115,,,,
COMP_SCI 301-0 - Introduction to Robotics Laboratory,,,,,,,,,,,,,,,,,,,,,,,
,29131,2022 Winter,4850,07C30,COMP_SCI 301-0,1,Introduction to Robotics Laboratory,Laboratory,TTh 12:30pm-3:20pm,"Argall, Brenna (BDA924) [Primary Instructor, Grade]",Tech Institute CG50 - EECS T-L,Evanston Campus,Instructor Consent Required,ABC Grading,,,5,0,25,Also MECH_ENG 301-0-1,,,
COMP_SCI 314-0 - Technology and Human Interaction,,,,,,,,,,,,,,,,,,,,,,,
,29132,2022 Winter,4850,07C30,COMP_SCI 314-0,1,Technology and Human Interaction,Lecture,TTh 9:30am-10:50am,"Gergle, Darren (DGP461) [Primary Instructor, Grade]",Meets in Non-General Purpose Classroom,Evanston Campus,No Special Consent Required,ABC Grading,Restrictions: Juniors/Seniors Only; Restrictions: Undergraduate Students Only,,30,0,60,Also COMM_ST 351-0-20,,,
"COMP_SCI 315-0 - Design, Technology, and Research",,,,,,,,,,,,,,,,,,,,,,,
